,Year,Attacks,Injuries,Deaths
0,1970,468,160.0,33.0
1,1971,247,55.0,20.0
2,1972,68,35.0,10.0
3,1973,58,33.0,45.0
4,1974,94,54.0,16.0
5,1975,149,158.0,24.0
6,1976,105,41.0,4.0
7,1977,130,17.0,4.0
8,1978,87,8.0,8.0
9,1979,69,58.0,18.0
10,1980,67,22.0,15.0
11,1981,74,15.0,8.0
12,1982,78,37.0,11.0
13,1983,44,5.0,8.0
14,1984,63,780.0,3.0
15,1985,40,13.0,3.0
16,1986,49,36.0,1.0
17,1987,34,1.0,1.0
18,1988,27,1.0,1.0
19,1989,42,14.0,3.0
20,1990,32,7.0,5.0
21,1991,30,4.0,2.0
22,1992,32,3.0,2.0
23,1994,55,16.0,10.0
24,1995,60,738.0,178.0
25,1996,35,119.0,2.0
26,1997,40,18.0,2.0
27,1998,31,3.0,4.0
28,1999,53,40.0,20.0
29,2000,32,7.0,0.0
30,2001,41,16515.0,3008.0
31,2002,33,11.0,4.0
32,2003,33,0.0,0.0
33,2004,9,0.0,0.0
34,2005,21,0.0,0.0
35,2006,6,14.0,1.0
36,2007,8,0.0,0.0
37,2008,18,13.0,2.0
38,2009,11,41.0,18.0
39,2010,17,17.0,4.0
40,2011,10,2.0,0.0
41,2012,20,7.0,7.0
42,2013,20,436.0,23.0
43,2014,29,19.0,26.0
44,2015,38,58.0,54.0
45,2016,64,139.0,68.0
46,2017,65,932.0,95.0
